
EXP:	Mon Oct 31 09:20:45 2005
CONFLICTS SIMULATION:
Mode 2: Initialisation from file conflicts1.net

Number of agents=	69
Number of connections=	98
BEGIN OF REP #1 M.of.INITIAL=	-1.1	M.of.NOISE=	-0.5
 STEP/VERSION	Mean(State)	Min(State)	Max(State)	SD(State)	Mean(Acctivity)	Min(Acctivity)	Max(Acctivity)	SD(Acctivity)	
130	-0.817582	-0.874624	-0.704335	0.0585567	-0.775339	-0.868149	0.00833864	0.128044	
140	-0.814528	-0.864004	-0.692375	0.0581983	-0.772318	-0.864637	0.00847762	0.128921	
150	-0.815234	-0.873451	-0.697828	0.0593681	-0.770629	-0.872359	0.00834339	0.129549	
160	-0.816473	-0.871787	-0.711179	0.0572509	-0.770359	-0.864124	0.00841436	0.129117	
170	-0.814954	-0.871649	-0.712933	0.0575218	-0.773103	-0.864485	0.00834992	0.127737	
180	-0.817234	-0.874805	-0.702009	0.0599404	-0.773253	-0.868888	0.00832601	0.127202	
190	-0.81364	-0.868978	-0.693489	0.0587003	-0.77174	-0.869362	0.00845674	0.128423	
200	-0.816663	-0.869126	-0.708461	0.0561449	-0.773095	-0.871911	0.00830439	0.128052	
210	-0.817131	-0.87325	-0.716244	0.0561627	-0.772775	-0.867563	0.00830674	0.128401	
220	-0.814546	-0.870256	-0.700137	0.0588804	-0.771195	-0.868605	0.00840908	0.128652	
230	-0.815722	-0.869928	-0.705758	0.0592928	-0.77068	-0.872038	0.00828433	0.128574	
240	-0.816118	-0.869984	-0.710549	0.0560964	-0.773968	-0.869567	0.00842806	0.128273	
250	-0.818149	-0.874556	-0.698644	0.0580053	-0.773037	-0.871913	0.00840673	0.129156	
260	-0.81479	-0.872496	-0.689341	0.0584804	-0.773346	-0.86848	0.00826177	0.127863	
270	-0.815514	-0.87269	-0.707073	0.0583408	-0.770951	-0.867983	0.00827239	0.127506	
280	-0.817947	-0.87015	-0.708141	0.0553986	-0.772373	-0.866258	0.00836707	0.128197	
290	-0.814665	-0.86698	-0.708719	0.0561953	-0.773119	-0.868764	0.00844194	0.129384	
300	-0.815158	-0.872567	-0.706638	0.0583867	-0.771518	-0.873801	0.00842065	0.128093	
310	-0.817029	-0.869337	-0.693726	0.0584758	-0.773608	-0.869385	0.00841697	0.127717	
320	-0.816418	-0.871083	-0.705638	0.0549053	-0.774668	-0.871005	0.0084637	0.129113	
330	-0.816004	-0.869229	-0.707939	0.0557728	-0.772347	-0.87016	0.00837908	0.128596	
340	-0.817715	-0.873283	-0.704525	0.0563884	-0.771683	-0.869579	0.00842816	0.12944	
350	-0.816254	-0.866707	-0.69709	0.0583141	-0.770577	-0.866534	0.00840273	0.128243	
360	-0.818003	-0.867203	-0.708159	0.0551603	-0.771864	-0.872673	0.0084405	0.128485	
370	-0.816566	-0.871462	-0.705432	0.0568327	-0.772255	-0.868924	0.00828709	0.129531	
380	-0.818282	-0.871608	-0.713018	0.055034	-0.771736	-0.861791	0.00836525	0.128088	
390	-0.816058	-0.871072	-0.700871	0.0563505	-0.770562	-0.864639	0.00840134	0.128216	
400	-0.815535	-0.871741	-0.705287	0.0555072	-0.772511	-0.864341	0.00823734	0.128442	
410	-0.816677	-0.877495	-0.70443	0.0567225	-0.774948	-0.869791	0.00844393	0.127985	
420	-0.815911	-0.866781	-0.693643	0.0566704	-0.773295	-0.868342	0.00843889	0.128334	
430	-0.815699	-0.875432	-0.707056	0.0570666	-0.773586	-0.869635	0.00845607	0.128716	
440	-0.815702	-0.870571	-0.701708	0.055954	-0.771894	-0.874177	0.00847944	0.128139	
450	-0.815704	-0.870686	-0.706077	0.0572927	-0.773205	-0.868206	0.00830764	0.127978	
460	-0.815967	-0.869303	-0.700967	0.0576903	-0.773373	-0.87029	0.00825088	0.127681	
470	-0.817043	-0.871672	-0.699184	0.0560253	-0.77239	-0.86657	0.00834924	0.128485	
480	-0.814653	-0.870403	-0.699553	0.05695	-0.772988	-0.866322	0.00838474	0.128686	
490	-0.816712	-0.874348	-0.693307	0.0562457	-0.775442	-0.865719	0.00832929	0.128162	
500	-0.816851	-0.868565	-0.709801	0.0574618	-0.773832	-0.863354	0.00834444	0.128044	
510	-0.81513	-0.868595	-0.706487	0.0582034	-0.772137	-0.870781	0.00843565	0.129228	
520	-0.81621	-0.869273	-0.709048	0.0541939	-0.77673	-0.865922	0.0084231	0.127827	
530	-0.815302	-0.869001	-0.706228	0.0565894	-0.77318	-0.872462	0.00848629	0.128029	
540	-0.8158	-0.869225	-0.690762	0.0568234	-0.772047	-0.864852	0.00837298	0.128774	
550	-0.81715	-0.876768	-0.713919	0.0566868	-0.773139	-0.870021	0.0084189	0.127336	
560	-0.816799	-0.867168	-0.711333	0.0556415	-0.773494	-0.875791	0.00847985	0.128578	
570	-0.816391	-0.875513	-0.702294	0.0585429	-0.771844	-0.870011	0.00821711	0.129113	
580	-0.816675	-0.865974	-0.719336	0.0553495	-0.769529	-0.8715	0.00829121	0.129763	
590	-0.816612	-0.87027	-0.701217	0.0563361	-0.771997	-0.874848	0.00833247	0.127415	
600	-0.814309	-0.872002	-0.70396	0.060354	-0.772287	-0.867881	0.00835581	0.128587	
610	-0.816723	-0.872449	-0.696774	0.0573061	-0.772844	-0.867188	0.0082754	0.127229	
620	-0.81536	-0.871228	-0.710682	0.0564077	-0.776672	-0.870768	0.00843685	0.127469	
630	-0.816451	-0.872481	-0.702878	0.0585033	-0.771275	-0.868744	0.00826277	0.129332	
